ID,Credit_Card_Name,Image,Image_File,Issuer,Category,Annual_Fee,Annual_Fee_Detail,Additional_Card_Fee,Additional_Card_Detail,Purchase_Interest_Rate,Cash_Advance_Interest_Rate,Rewards_Program,Welcome_Bonus,Welcome_Bonus_Detailed,Welcome_Bonus_Value,Welcome_Bonus_Eligbility,Features,Features_Detailed,Card_Eligibility,Insurance,Product_Link
1,American Express Cobalt Card,,American Express Cobalt Card.png,American Express,Rewards,$155.88,12.99 per month or $155.88 per year,$0,$0 or no cost,21.99%,21.99%,AMEX Membership Rewards,"Earn up to 15,000 Membership Rewards points","Earn 1,250 Membership Rewards points for each monthly billing period in which you spend $750 in purchases on your Card.Earn up to 15,000 Membership Rewards points in your first year as a new Cobalt Cardmember,",up to $150,Current or former Cardmembers with this Card are not eligible for this offer,"For every $1 in card purchasesEarn 5x the points on eligible restaurants, bars, cafes, and food delivery. Earn 3x the points on streaming subscriptions.Earn 2x the points on eligible gas, transit & ride share.Earn 1x the points on everything else.","Earn 5x the points for every $1 in Card purchases at eligible restaurants, bars, cafes, and even food delivery in Canada.Earn 3x the points for every $1 spent on eligible streaming subscriptions in Canada.Earn 2x the points for every $1 spent on eligible gas, transit & ride share in Canada.Earn 1x point on every $1 in Card purchases on everything else.",Be a Canadian resident and have a Canadian credit file.Be the age of majority in your province or territory of residence.,,https://www.americanexpress.com/en-ca/credit-cards/cobalt-card/?
2,American Express Gold Rewards Card,,American Express Gold Rewards Card.png,American Express,Rewards,$250,$250 Annual Fee,$50,"1 Free Additional Gold Rewards Card - a $50 value
$50 annual fee for Additional Gold Rewards Cards",21.99%,21.99%,AMEX Membership Rewards,"Earn up to 60,000 Membership Rewards points",,up to $600,Current or former Cardmembers with this Card are not eligible for this offer,"2X POINTS On travel
2X POINTS On everyday purchases
1X POINTS On everything else
1 ADDITIONAL POINT On Amex Travel Online","2X POINTS On travel
Including eligible flights, hotels, car rentals, cruises, and more
2X POINTS On everyday purchases
On eligible gas, grocery & drugstore purchases in Canada
1X POINTS On everything else
From dining to takeout, subscriptions, shopping, and more
1 ADDITIONAL POINT On Amex Travel Online
On eligible hotel or car rental bookings","You are a Canadian resident and have a Canadian credit file
You are the age of majority in the province or territory where you live",,https://www.americanexpress.com/en-ca/credit-cards/gold-rewards-card/?
3,The Platinum Card,,American Express - The Platinum Card.png,American Express,Rewards,$799,"$799 annually. Supplementary Cards: $250 for each additional Platinum Card. Alternative Sub-cards: $0 for the first two Additional Gold Cards, then $50 annually.",$250,"$250 annual fee for each Additional Platinum Card
3
$0 annual fee for first two Additional Gold Cards, $50 annual fee for any Additional Gold Cards",21.99%,30%,AMEX Membership Rewards,"Up to 100,000 Membership Rewards points.","70,000 points after spending $10,000 in net purchases within the first 3 months. Additional Bonus: 30,000 points after making a purchase between 15 and 17 months of Cardmembership.","generally valued at a minimum of $1,000+ when redeemed for statement credits or significantly more when transferred to partners (e.g., Aeroplan).","This offer is for new American Express Platinum Cardmembers. As is standard, you are not eligible for the welcome bonus if you currently hold or have previously held the personal Platinum Card.",Earn 2X POINTS On dining & food delivery purchases in Canada. Earn 2X POINTS On travel. Earn 1X POINTS On everything else. 1 ADDITIONAL POINT On Amex Travel Online,"$200 Annual Travel Credit (via Amex Travel) and $200 Annual Dining Credit (at select Canadian restaurants). Airport Lounge Access: Unlimited access for the Cardmember to over 1,400 lounges worldwide through the American Express Global Lounge Collection, including Priority Pass and Plaza Premium. Earning Rates: 2x points on dining and food delivery in Canada, 2x points on travel, and 1x points on everything else. Perks: $100 NEXUS Card statement credit (every 4 years), Fine Hotels + Resorts benefits (avg. $550 USD value), and extensive travel/purchase insurance. Spending Limit: No pre-set spending limit (charge card functionality, requiring balance to be paid in full monthly).",You are a Canadian resident and have a Canadian credit file. You are the age of majority in the province or territory where you live,,https://www.americanexpress.com/en-ca/charge-cards/the-platinum-card/?
4,American Express Green Card,,American Express Green Card.png,American Express,Rewards,$0,No annual fee,No annual fee,No annual fee,21.99%,21.99%,AMEX Membership Rewards,"Earn 15,000 Membership Rewards points","when you spend $1,250 on your Card in the first 3 months as a new American Express

Green Cardmember.",$150,Current or former Cardmembers with this Card are not eligible for these offers.,"1X POINTS On everyday purchases
1 ADDITIONAL POINT On Amex Travel Online","From takeout to travel, earn points on eligible purchases
On eligible hotel or car rental bookings","You are a Canadian resident and have a Canadian credit file
You are the age of majority in the province or territory where you live",,https://www.americanexpress.com/en-ca/credit-cards/green-card/?
5,American Express Aeroplan Card,,American Express Aeroplan Card.png,American Express,Travel,$120,$120 per year,$50,$50 annual fee for each Additional Aeroplan Card,30%,30%,Aeroplan Points,"Earn up to 45,000 Bonus Aeroplan points","Earn 35,000 Aeroplan points after spending $3,000 on your Card within the first 3 months. Plus, earn an additional 10,000 Aeroplan points when you spend $1,000 in month 13","up to $1,000",Current or former Cardmembers with this Card are not eligible for these offers,Earn 2x the points on eligible purchases made with Air Canada and Air Canada Vacations. Earn 1.5x the points on eligible Dining and Food Delivery purchases in Canada.Earn 1x the points on everything else.,"Standard Earn Rate: Earn 2x the points on eligible purchases made directly with Air Canada and Air Canada Vacations.Standard Earn Rate: Earn 1.5x the points on eligible Dining and Food Delivery purchases in Canada.Standard Earn Rate: Earn 1x the points on everything else.Your Aeroplan points will not expire as long as you are an American Express Aeroplan Basic Cardmember.Aeroplan flight rewards are just the beginning. Aeroplan points can be redeemed for merchandise, gift cards and much more.Choose flights to over 180 destinations on Air Canada, and more than 1,200 destinations available through airline partners.As a Basic Cardmember, you can often book flight rewards for even fewer points with preferred pricing.In addition to flights, you can also redeem for hotel stays, car rentals, vacation packages, merchandise and more.",Be a Canadian resident and have a Canadian credit file.Be the age of majority in your province or territory of residence.,,https://www.americanexpress.com/en-ca/charge-cards/aeroplan-card/?
6,American Express Aeroplan Reserve Card,,American Express Aeroplan Reserve Card.png,American Express,Travel,$599,$599,"$199 annual fee for each Additional Aeroplan
*
Reserve Card","No annual fee for each Additional Aeroplan
*
Reserve no-fee Card",21.99%,21.99%,Aeroplan Points,"Earn up to 85,000 Welcome Bonus Aeroplan Points","Earn 60,000 Aeroplan points after spending $7,500 in purchases on the card within the first 3 months of membership. Earn an additional 25,000 Aeroplan points when you spend $2,500 in purchases in month 13.","up to $4,900",The bonus is not available to current or former American Express Aeroplan Reserve Cardmembers.,"3X AEROPLAN POINTS On Air Canada
2X AEROPLAN POINTS On dining & food delivery
1.25X AEROPLAN POINTS On everything else","For eligible Air Canada
*
and Air Canada Vacations
*
purchases
For eligible dining and food delivery purchases in Canada
From subscription services to online shopping and more","You are a Canadian resident and have a Canadian credit file
You are the age of majority in the province or territory where you live",,https://www.americanexpress.com/en-ca/credit-cards/aeroplan-reserve/?
7,SimplyCash American Express Preferred Card,,SimplyCash American Express Preferred Card.png,American Express,Cash Back,$0,No annual fee,No annual fee,$0 or no cost,21.99%,21.99%,CASH BACK,Earn up to $100 in bonus cash back,"Earn up to $100 in bonus cash back.In your first 3 months as a new SimplyCash Card from American Express Cardmember, you can earn a bonus 5% cash back on all purchases (up to $2,000 in purchases)",up to $100,Current or former Cardmembers with this Card are not eligible for this offer,"Earn 2% cash back on eligible gas and grocery purchases (up to $300 cash back annually), and 1.25% cash back on all other purchases.","Earn 2% cash back on eligible gas purchases, 2% cash back on eligible grocery purchases (up to $300 cash back annually), and 1.25% cash back on all other purchases. Cash back is applied annually as a statement credit",Be a Canadian resident and have a Canadian credit file.Be the age of majority in your province or territory of residence.,,https://www.americanexpress.com/en-ca/credit-cards/simply-cash/?
8,SimplyCash American Express Card,,,American Express,Cash Back,$120,"For non-Quebec residents, $9.99/month (Equals $119.88 annually). For Quebec residents, $119/year.",No annual fee,No annual fee,21.99%,21.99%,Cash Back,UP TO $250 IN BONUS VALUE,"Earn up to $200 in bonus cash back by earning a bonus 10% cash back on all purchases (up to $2,000 in purchases) in your first 3 months as a new SimplyCash

Preferred Card from American Express Cardmember. Earn a $50 statement credit when you make a purchase in month 13.",up to $250,Current or former Cardmembers with this Card are not eligible for this offer,4% CASH BACK On gas. 4% CASH BACK On grocery. 2% CASH BACK on everything else,"4% CASH BACK On gas For eligible gas station purchases in Canada. 4% CASH BACK On grocery For eligible grocery purchases in Canada, up to $1,200 cash back annually. 2% CASH BACK on everything else With no limit to the amount of cash back you can earn!",You are a Canadian resident and have a Canadian credit file. You are the age of majority in the province or territory where you live,,https://www.americanexpress.com/en-ca/credit-cards/simply-cash-preferred/?
9,American Express Essential Credit Card,,,American Express,Low Interest,$25,$25,No annual fee,$0 (no fee for supplementary cards).,12.99%,12.99%,N/A,"Generally, this card does not offer a traditional welcome bonus, or it is currently listed as none.",,$0,N/A,No Rewards: This card does not earn rewards points or cash back.,,"You are a Canadian resident and have a Canadian credit file
You are the age of majority in the province or territory where you live",,https://www.americanexpress.com/en-ca/credit-cards/essential-credit-card/?
10,Marriott Bonvoy American Express Card,,Marriott Bonvoy American Express Card.png,American Express,Travel,$120,$120 CAD per year,No annual fee,$0 fee for supplementary cards. Up to 9 supplementary cards allowed.,21.99%,21.99%,Marriott Bonvoy Points,"Up to 110,000 Marriott Bonvoy points","80,000 points after spending $6,000 in net purchases within the first 6 months of cardmembership. 30,000 points upon making a purchase in the 15th month of cardmembership.",Estimated around $836 - $990+ CAD depending on redemption,Available to new cardmembers. Current or former cardmembers who have held this specific card are generally not eligible for this welcome bonus.,Earn 5X Points Per $1 on Marriott Purchases. 2X Points per $1 on everything else,"On eligible purchases at participating Marriott Bonvoy hotels. From dining to groceries, online shopping, and more",You are a Canadian resident and have a Canadian credit file. You are the age of majority in the province or territory where you live,,https://www.americanexpress.com/en-ca/credit-cards/marriott-bonvoy-card/?
